,Postcode,Borough,Neighbourhood
0, ,Canadian postal codes,
1,M1A ,M1A ,M1A 
2,M1B ,Scarborough,"Malvern, Rouge"
3,M1C ,Scarborough,"Rouge Hill, Port Union, Highland Creek"
4,M1E ,Scarborough,"Guildwood, Morningside, West Hill"
5,M1G ,Scarborough,Woburn
6,M1H ,Scarborough,Cedarbrae
7,M1J ,Scarborough,Scarborough Village
8,M1K ,Scarborough,"Kennedy Park, Ionview, East Birchmount Park"
9,M1L ,Scarborough,"Golden Mile, Clairlea, Oakridge"
10,M1M ,Scarborough,"Cliffside, Cliffcrest, Scarborough Village West"
11,M1N ,Scarborough,"Birch Cliff, Cliffside West"
12,M1P ,Scarborough,"Dorset Park, Wexford Heights, Scarborough Town Centre"
13,M1R ,Scarborough,"Wexford, Maryvale"
14,M1S ,Scarborough,Agincourt
15,M1T ,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan"
16,M1V ,Scarborough,"Milliken, Agincourt North, Steeles East, L'Amoreaux East"
17,M1W ,Scarborough,"Steeles West, L'Amoreaux West"
18,M1X ,Scarborough,Upper Rouge
19,M1Y ,M1Y ,M1Y 
20,M1Z ,M1Z ,M1Z 
21,M2A ,M2A ,M2A 
22,M2B ,M2B ,M2B 
23,M2C ,M2C ,M2C 
24,M2E ,M2E ,M2E 
25,M2G ,M2G ,M2G 
26,M2H ,North York,Hillcrest Village
27,M2J ,North York,"Fairview, Henry Farm, Oriole"
28,M2K ,North York,Bayview Village
29,M2L ,North York,"York Mills, Silver Hills"
30,M2M ,North York,"Willowdale, Newtonbrook"
31,M2N ,North York,"Willowdale, Willowdale East"
32,M2P ,North York,York Mills West
33,M2R ,North York,"Willowdale, Willowdale West"
34,M2S ,M2S ,M2S 
35,M2T ,M2T ,M2T 
36,M2V ,M2V ,M2V 
37,M2W ,M2W ,M2W 
38,M2X ,M2X ,M2X 
39,M2Y ,M2Y ,M2Y 
40,M2Z ,M2Z ,M2Z 
41,M3A ,North York,Parkwoods
42,M3B ,North York,Don Mills
43,M3C ,North York,Don Mills
44,M3E ,M3E ,M3E 
45,M3G ,M3G ,M3G 
46,M3H ,North York,"Bathurst Manor, Wilson Heights, Downsview North"
47,M3J ,North York,"Northwood Park, York University"
48,M3K ,North York,Downsview
49,M3L ,North York,Downsview
50,M3M ,North York,Downsview
51,M3N ,North York,Downsview
52,M3P ,M3P ,M3P 
53,M3R ,M3R ,M3R 
54,M3S ,M3S ,M3S 
55,M3T ,M3T ,M3T 
56,M3V ,M3V ,M3V 
57,M3W ,M3W ,M3W 
58,M3X ,M3X ,M3X 
59,M3Y ,M3Y ,M3Y 
60,M3Z ,M3Z ,M3Z 
61,M4A ,North York,Victoria Village
62,M4B ,East York,"Parkview Hill, Woodbine Gardens"
63,M4C ,East York,Woodbine Heights
64,M4E ,East Toronto,The Beaches
65,M4G ,East York,Leaside
66,M4H ,East York,Thorncliffe Park
67,M4J ,East York,"East Toronto, Broadview North (Old East York)"
68,M4K ,East Toronto,"The Danforth West, Riverdale"
69,M4L ,East Toronto,"India Bazaar, The Beaches West"
70,M4M ,East Toronto,Studio District
71,M4N ,Central Toronto,Lawrence Park
72,M4P ,Central Toronto,Davisville North
73,M4R ,Central Toronto,"North Toronto West,  Lawrence Park"
74,M4S ,Central Toronto,Davisville
75,M4T ,Central Toronto,"Moore Park, Summerhill East"
76,M4V ,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park"
77,M4W ,Downtown Toronto,Rosedale
78,M4X ,Downtown Toronto,"St. James Town, Cabbagetown"
79,M4Y ,Downtown Toronto,Church and Wellesley
80,M4Z ,M4Z ,M4Z 
81,M5A ,Downtown Toronto,"Regent Park, Harbourfront"
82,M5B ,Downtown Toronto,"Garden District, Ryerson"
83,M5C ,Downtown Toronto,St. James Town
84,M5E ,Downtown Toronto,Berczy Park
85,M5G ,Downtown Toronto,Central Bay Street
86,M5H ,Downtown Toronto,"Richmond, Adelaide, King"
87,M5J ,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands"
88,M5K ,Downtown Toronto,"Toronto Dominion Centre, Design Exchange"
89,M5L ,Downtown Toronto,"Commerce Court, Victoria Hotel"
90,M5M ,North York,"Bedford Park, Lawrence Manor East"
91,M5N ,Central Toronto,Roselawn
92,M5P ,Central Toronto,"Forest Hill North & West, Forest Hill Road Park"
93,M5R ,Central Toronto,"The Annex, North Midtown, Yorkville"
94,M5S ,Downtown Toronto,"University of Toronto, Harbord"
95,M5T ,Downtown Toronto,"Kensington Market, Chinatown, Grange Park"
96,M5V ,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport"
97,M5W ,Downtown Toronto,Stn A PO Boxes
98,M5X ,Downtown Toronto,"First Canadian Place, Underground city"
99,M5Y ,M5Y ,M5Y 
100,M5Z ,M5Z ,M5Z 
101,M6A ,North York,"Lawrence Manor, Lawrence Heights"
102,M6B ,North York,Glencairn
103,M6C ,York,Humewood-Cedarvale
104,M6E ,York,Caledonia-Fairbanks
105,M6G ,Downtown Toronto,Christie
106,M6H ,West Toronto,"Dufferin, Dovercourt Village"
107,M6J ,West Toronto,"Little Portugal, Trinity"
108,M6K ,West Toronto,"Brockton, Parkdale Village, Exhibition Place"
109,M6L ,North York,"North Park, Maple Leaf Park, Upwood Park"
110,M6M ,York,"Del Ray, Mount Dennis, Keelsdale and Silverthorn"
111,M6N ,York,"Runnymede, The Junction North"
112,M6P ,West Toronto,"High Park, The Junction South"
113,M6R ,West Toronto,"Parkdale, Roncesvalles"
114,M6S ,West Toronto,"Runnymede, Swansea"
115,M6T ,M6T ,M6T 
116,M6V ,M6V ,M6V 
117,M6W ,M6W ,M6W 
118,M6X ,M6X ,M6X 
119,M6Y ,M6Y ,M6Y 
120,M6Z ,M6Z ,M6Z 
121,M7A ,Downtown Toronto,"Queen's Park, Ontario Provincial Government"
122,M7B ,M7B ,M7B 
123,M7C ,M7C ,M7C 
124,M7E ,M7E ,M7E 
125,M7G ,M7G ,M7G 
126,M7H ,M7H ,M7H 
127,M7J ,M7J ,M7J 
128,M7K ,M7K ,M7K 
129,M7L ,M7L ,M7L 
130,M7M ,M7M ,M7M 
131,M7N ,M7N ,M7N 
132,M7P ,M7P ,M7P 
133,M7R ,Mississauga,Canada Post Gateway Processing Centre
134,M7S ,M7S ,M7S 
135,M7T ,M7T ,M7T 
136,M7V ,M7V ,M7V 
137,M7W ,M7W ,M7W 
138,M7X ,M7X ,M7X 
139,M7Y ,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto"
140,M7Z ,M7Z ,M7Z 
141,M8A ,M8A ,M8A 
142,M8B ,M8B ,M8B 
143,M8C ,M8C ,M8C 
144,M8E ,M8E ,M8E 
145,M8G ,M8G ,M8G 
146,M8H ,M8H ,M8H 
147,M8J ,M8J ,M8J 
148,M8K ,M8K ,M8K 
149,M8L ,M8L ,M8L 
150,M8M ,M8M ,M8M 
151,M8N ,M8N ,M8N 
152,M8P ,M8P ,M8P 
153,M8R ,M8R ,M8R 
154,M8S ,M8S ,M8S 
155,M8T ,M8T ,M8T 
156,M8V ,Etobicoke,"New Toronto, Mimico South, Humber Bay Shores"
157,M8W ,Etobicoke,"Alderwood, Long Branch"
158,M8X ,Etobicoke,"The Kingsway, Montgomery Road, Old Mill North"
159,M8Y ,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East"
160,M8Z ,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West"
161,M9A ,Etobicoke,"Islington Avenue, Humber Valley Village"
162,M9B ,Etobicoke,"West Deane Park, Princess Gardens, Martin Grove, Islington, Cloverdale"
163,M9C ,Etobicoke,"Eringate, Bloordale Gardens, Old Burnhamthorpe, Markland Wood"
164,M9E ,M9E ,M9E 
165,M9G ,M9G ,M9G 
166,M9H ,M9H ,M9H 
167,M9J ,M9J ,M9J 
168,M9K ,M9K ,M9K 
169,M9L ,North York,Humber Summit
170,M9M ,North York,"Humberlea, Emery"
171,M9N ,York,Weston
172,M9P ,Etobicoke,Westmount
173,M9R ,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens"
174,M9S ,M9S ,M9S 
175,M9T ,M9T ,M9T 
176,M9V ,Etobicoke,"South Steeles, Silverstone, Humbergate, Jamestown, Mount Olive, Beaumond Heights, Thistletown, Albion Gardens"
177,M9W ,Etobicoke,"Northwest, West Humber - Clairville"
178,M9X ,M9X ,M9X 
179,M9Y ,M9Y ,M9Y 
180,M9Z ,M9Z ,M9Z 
